Unidade da Federação;Internações;mes;ano;mes_ano
33 Rio de Janeiro;1254;Mai;2008;2008-05-01
26 Pernambuco;903;Mai;2008;2008-05-01
23 Ceará;880;Mai;2008;2008-05-01
41 Paraná;607;Mai;2008;2008-05-01
15 Pará;698;Mai;2008;2008-05-01
43 Rio Grande do Sul;549;Mai;2008;2008-05-01
21 Maranhão;571;Mai;2008;2008-05-01
42 Santa Catarina;491;Mai;2008;2008-05-01
13 Amazonas;353;Mai;2008;2008-05-01
52 Goiás;319;Mai;2008;2008-05-01
25 Paraíba;334;Mai;2008;2008-05-01
22 Piauí;281;Mai;2008;2008-05-01
27 Alagoas;293;Mai;2008;2008-05-01
28 Sergipe;295;Mai;2008;2008-05-01
24 Rio Grande do Norte;209;Mai;2008;2008-05-01
32 Espírito Santo;233;Mai;2008;2008-05-01
53 Distrito Federal;496;Mai;2008;2008-05-01
51 Mato Grosso;185;Mai;2008;2008-05-01
50 Mato Grosso do Sul;215;Mai;2008;2008-05-01
17 Tocantins;138;Mai;2008;2008-05-01
16 Amapá;16;Mai;2008;2008-05-01
11 Rondônia;95;Mai;2008;2008-05-01
12 Acre;77;Mai;2008;2008-05-01
14 Roraima;75;Mai;2008;2008-05-01
35 São Paulo;3008;Jun;2008;2008-06-01
29 Bahia;2089;Jun;2008;2008-06-01
31 Minas Gerais;1787;Jun;2008;2008-06-01
33 Rio de Janeiro;1243;Jun;2008;2008-06-01
26 Pernambuco;877;Jun;2008;2008-06-01
23 Ceará;952;Jun;2008;2008-06-01
41 Paraná;645;Jun;2008;2008-06-01
15 Pará;739;Jun;2008;2008-06-01
43 Rio Grande do Sul;539;Jun;2008;2008-06-01
21 Maranhão;551;Jun;2008;2008-06-01
42 Santa Catarina;477;Jun;2008;2008-06-01
13 Amazonas;464;Jun;2008;2008-06-01
52 Goiás;282;Jun;2008;2008-06-01
25 Paraíba;342;Jun;2008;2008-06-01
22 Piauí;582;Jun;2008;2008-06-01
27 Alagoas;280;Jun;2008;2008-06-01
28 Sergipe;364;Jun;2008;2008-06-01
24 Rio Grande do Norte;220;Jun;2008;2008-06-01
32 Espírito Santo;281;Jun;2008;2008-06-01
53 Distrito Federal;358;Jun;2008;2008-06-01
51 Mato Grosso;224;Jun;2008;2008-06-01
50 Mato Grosso do Sul;224;Jun;2008;2008-06-01
17 Tocantins;152;Jun;2008;2008-06-01
16 Amapá;264;Jun;2008;2008-06-01
11 Rondônia;73;Jun;2008;2008-06-01
12 Acre;145;Jun;2008;2008-06-01
14 Roraima;97;Jun;2008;2008-06-01
35 São Paulo;3412;Jul;2008;2008-07-01
29 Bahia;1831;Jul;2008;2008-07-01
