Unidade da Federação;Internações;mes;ano;mes_ano
50 Mato Grosso do Sul;246;Set;2009;2009-09-01
17 Tocantins;154;Set;2009;2009-09-01
16 Amapá;95;Set;2009;2009-09-01
11 Rondônia;102;Set;2009;2009-09-01
12 Acre;-;Set;2009;2009-09-01
14 Roraima;150;Set;2009;2009-09-01
35 São Paulo;3403;Out;2009;2009-10-01
29 Bahia;2032;Out;2009;2009-10-01
31 Minas Gerais;1720;Out;2009;2009-10-01
33 Rio de Janeiro;1264;Out;2009;2009-10-01
26 Pernambuco;1021;Out;2009;2009-10-01
23 Ceará;1025;Out;2009;2009-10-01
41 Paraná;684;Out;2009;2009-10-01
15 Pará;790;Out;2009;2009-10-01
43 Rio Grande do Sul;692;Out;2009;2009-10-01
21 Maranhão;660;Out;2009;2009-10-01
42 Santa Catarina;549;Out;2009;2009-10-01
13 Amazonas;443;Out;2009;2009-10-01
52 Goiás;405;Out;2009;2009-10-01
25 Paraíba;450;Out;2009;2009-10-01
22 Piauí;379;Out;2009;2009-10-01
27 Alagoas;382;Out;2009;2009-10-01
28 Sergipe;327;Out;2009;2009-10-01
24 Rio Grande do Norte;289;Out;2009;2009-10-01
32 Espírito Santo;314;Out;2009;2009-10-01
53 Distrito Federal;337;Out;2009;2009-10-01
51 Mato Grosso;232;Out;2009;2009-10-01
50 Mato Grosso do Sul;178;Out;2009;2009-10-01
17 Tocantins;168;Out;2009;2009-10-01
16 Amapá;158;Out;2009;2009-10-01
11 Rondônia;123;Out;2009;2009-10-01
12 Acre;138;Out;2009;2009-10-01
14 Roraima;74;Out;2009;2009-10-01
35 São Paulo;3360;Nov;2009;2009-11-01
29 Bahia;2041;Nov;2009;2009-11-01
31 Minas Gerais;1746;Nov;2009;2009-11-01
33 Rio de Janeiro;1337;Nov;2009;2009-11-01
26 Pernambuco;1002;Nov;2009;2009-11-01
23 Ceará;955;Nov;2009;2009-11-01
41 Paraná;689;Nov;2009;2009-11-01
15 Pará;769;Nov;2009;2009-11-01
43 Rio Grande do Sul;665;Nov;2009;2009-11-01
21 Maranhão;578;Nov;2009;2009-11-01
42 Santa Catarina;518;Nov;2009;2009-11-01
13 Amazonas;365;Nov;2009;2009-11-01
52 Goiás;403;Nov;2009;2009-11-01
25 Paraíba;405;Nov;2009;2009-11-01
22 Piauí;380;Nov;2009;2009-11-01
27 Alagoas;355;Nov;2009;2009-11-01
28 Sergipe;316;Nov;2009;2009-11-01
24 Rio Grande do Norte;301;Nov;2009;2009-11-01
32 Espírito Santo;313;Nov;2009;2009-11-01
53 Distrito Federal;258;Nov;2009;2009-11-01
51 Mato Grosso;218;Nov;2009;2009-11-01
50 Mato Grosso do Sul;229;Nov;2009;2009-11-01
17 Tocantins;165;Nov;2009;2009-11-01
16 Amapá;167;Nov;2009;2009-11-01
11 Rondônia;93;Nov;2009;2009-11-01
12 Acre;111;Nov;2009;2009-11-01
14 Roraima;88;Nov;2009;2009-11-01
35 São Paulo;3187;Dez;2009;2009-12-01
29 Bahia;1914;Dez;2009;2009-12-01
31 Minas Gerais;1639;Dez;2009;2009-12-01
33 Rio de Janeiro;1417;Dez;2009;2009-12-01
26 Pernambuco;891;Dez;2009;2009-12-01
23 Ceará;940;Dez;2009;2009-12-01
41 Paraná;715;Dez;2009;2009-12-01
15 Pará;744;Dez;2009;2009-12-01
43 Rio Grande do Sul;715;Dez;2009;2009-12-01
21 Maranhão;568;Dez;2009;2009-12-01
42 Santa Catarina;485;Dez;2009;2009-12-01
13 Amazonas;357;Dez;2009;2009-12-01
52 Goiás;372;Dez;2009;2009-12-01
25 Paraíba;429;Dez;2009;2009-12-01
22 Piauí;319;Dez;2009;2009-12-01
27 Alagoas;386;Dez;2009;2009-12-01
28 Sergipe;314;Dez;2009;2009-12-01
24 Rio Grande do Norte;318;Dez;2009;2009-12-01
32 Espírito Santo;255;Dez;2009;2009-12-01
53 Distrito Federal;207;Dez;2009;2009-12-01
51 Mato Grosso;226;Dez;2009;2009-12-01
50 Mato Grosso do Sul;173;Dez;2009;2009-12-01
17 Tocantins;154;Dez;2009;2009-12-01
16 Amapá;163;Dez;2009;2009-12-01
11 Rondônia;101;Dez;2009;2009-12-01
12 Acre;110;Dez;2009;2009-12-01
14 Roraima;72;Dez;2009;2009-12-01
35 São Paulo;3299;Jan;2010;2010-01-01
29 Bahia;2197;Jan;2010;2010-01-01
31 Minas Gerais;1558;Jan;2010;2010-01-01
33 Rio de Janeiro;1383;Jan;2010;2010-01-01
26 Pernambuco;901;Jan;2010;2010-01-01
23 Ceará;979;Jan;2010;2010-01-01
41 Paraná;661;Jan;2010;2010-01-01
15 Pará;700;Jan;2010;2010-01-01
43 Rio Grande do Sul;623;Jan;2010;2010-01-01
21 Maranhão;567;Jan;2010;2010-01-01
42 Santa Catarina;486;Jan;2010;2010-01-01
13 Amazonas;359;Jan;2010;2010-01-01
52 Goiás;296;Jan;2010;2010-01-01
25 Paraíba;343;Jan;2010;2010-01-01
22 Piauí;461;Jan;2010;2010-01-01
27 Alagoas;391;Jan;2010;2010-01-01
28 Sergipe;342;Jan;2010;2010-01-01
24 Rio Grande do Norte;289;Jan;2010;2010-01-01
32 Espírito Santo;288;Jan;2010;2010-01-01
53 Distrito Federal;282;Jan;2010;2010-01-01
51 Mato Grosso;178;Jan;2010;2010-01-01
50 Mato Grosso do Sul;227;Jan;2010;2010-01-01
17 Tocantins;180;Jan;2010;2010-01-01
16 Amapá;157;Jan;2010;2010-01-01
11 Rondônia;109;Jan;2010;2010-01-01
12 Acre;154;Jan;2010;2010-01-01
14 Roraima;44;Jan;2010;2010-01-01
35 São Paulo;2703;Fev;2010;2010-02-01
29 Bahia;1894;Fev;2010;2010-02-01
31 Minas Gerais;1376;Fev;2010;2010-02-01
33 Rio de Janeiro;1160;Fev;2010;2010-02-01
26 Pernambuco;979;Fev;2010;2010-02-01
23 Ceará;954;Fev;2010;2010-02-01
41 Paraná;632;Fev;2010;2010-02-01
15 Pará;727;Fev;2010;2010-02-01
43 Rio Grande do Sul;707;Fev;2010;2010-02-01
21 Maranhão;627;Fev;2010;2010-02-01
42 Santa Catarina;454;Fev;2010;2010-02-01
13 Amazonas;386;Fev;2010;2010-02-01
52 Goiás;321;Fev;2010;2010-02-01
25 Paraíba;348;Fev;2010;2010-02-01
22 Piauí;353;Fev;2010;2010-02-01
27 Alagoas;333;Fev;2010;2010-02-01
28 Sergipe;281;Fev;2010;2010-02-01
24 Rio Grande do Norte;278;Fev;2010;2010-02-01
32 Espírito Santo;247;Fev;2010;2010-02-01
53 Distrito Federal;184;Fev;2010;2010-02-01
51 Mato Grosso;189;Fev;2010;2010-02-01
50 Mato Grosso do Sul;141;Fev;2010;2010-02-01
17 Tocantins;159;Fev;2010;2010-02-01
16 Amapá;123;Fev;2010;2010-02-01
11 Rondônia;112;Fev;2010;2010-02-01
12 Acre;105;Fev;2010;2010-02-01
14 Roraima;92;Fev;2010;2010-02-01
35 São Paulo;2792;Mar;2010;2010-03-01
29 Bahia;1843;Mar;2010;2010-03-01
31 Minas Gerais;1460;Mar;2010;2010-03-01
33 Rio de Janeiro;1256;Mar;2010;2010-03-01
26 Pernambuco;936;Mar;2010;2010-03-01
23 Ceará;944;Mar;2010;2010-03-01
41 Paraná;614;Mar;2010;2010-03-01
15 Pará;744;Mar;2010;2010-03-01
43 Rio Grande do Sul;637;Mar;2010;2010-03-01
21 Maranhão;660;Mar;2010;2010-03-01
42 Santa Catarina;431;Mar;2010;2010-03-01
13 Amazonas;471;Mar;2010;2010-03-01
52 Goiás;330;Mar;2010;2010-03-01
25 Paraíba;400;Mar;2010;2010-03-01
22 Piauí;386;Mar;2010;2010-03-01
27 Alagoas;364;Mar;2010;2010-03-01
28 Sergipe;321;Mar;2010;2010-03-01
24 Rio Grande do Norte;302;Mar;2010;2010-03-01
32 Espírito Santo;201;Mar;2010;2010-03-01
53 Distrito Federal;264;Mar;2010;2010-03-01
51 Mato Grosso;200;Mar;2010;2010-03-01
50 Mato Grosso do Sul;188;Mar;2010;2010-03-01
17 Tocantins;154;Mar;2010;2010-03-01
16 Amapá;139;Mar;2010;2010-03-01
11 Rondônia;110;Mar;2010;2010-03-01
12 Acre;153;Mar;2010;2010-03-01
14 Roraima;117;Mar;2010;2010-03-01
35 São Paulo;2780;Abr;2010;2010-04-01
29 Bahia;1740;Abr;2010;2010-04-01
31 Minas Gerais;1423;Abr;2010;2010-04-01
33 Rio de Janeiro;1117;Abr;2010;2010-04-01
26 Pernambuco;900;Abr;2010;2010-04-01
23 Ceará;887;Abr;2010;2010-04-01
41 Paraná;700;Abr;2010;2010-04-01
15 Pará;713;Abr;2010;2010-04-01
43 Rio Grande do Sul;638;Abr;2010;2010-04-01
21 Maranhão;574;Abr;2010;2010-04-01
42 Santa Catarina;417;Abr;2010;2010-04-01
13 Amazonas;459;Abr;2010;2010-04-01
52 Goiás;350;Abr;2010;2010-04-01
25 Paraíba;332;Abr;2010;2010-04-01
22 Piauí;363;Abr;2010;2010-04-01
27 Alagoas;334;Abr;2010;2010-04-01
28 Sergipe;314;Abr;2010;2010-04-01
24 Rio Grande do Norte;239;Abr;2010;2010-04-01
32 Espírito Santo;216;Abr;2010;2010-04-01
53 Distrito Federal;314;Abr;2010;2010-04-01
51 Mato Grosso;174;Abr;2010;2010-04-01
50 Mato Grosso do Sul;174;Abr;2010;2010-04-01
17 Tocantins;130;Abr;2010;2010-04-01
16 Amapá;179;Abr;2010;2010-04-01
11 Rondônia;111;Abr;2010;2010-04-01
12 Acre;154;Abr;2010;2010-04-01
14 Roraima;117;Abr;2010;2010-04-01
35 São Paulo;2749;Mai;2010;2010-05-01
29 Bahia;1676;Mai;2010;2010-05-01
31 Minas Gerais;1404;Mai;2010;2010-05-01
33 Rio de Janeiro;1297;Mai;2010;2010-05-01
26 Pernambuco;703;Mai;2010;2010-05-01
23 Ceará;838;Mai;2010;2010-05-01
41 Paraná;576;Mai;2010;2010-05-01
15 Pará;804;Mai;2010;2010-05-01
43 Rio Grande do Sul;611;Mai;2010;2010-05-01
21 Maranhão;557;Mai;2010;2010-05-01
42 Santa Catarina;380;Mai;2010;2010-05-01
13 Amazonas;452;Mai;2010;2010-05-01
52 Goiás;312;Mai;2010;2010-05-01
25 Paraíba;355;Mai;2010;2010-05-01
22 Piauí;341;Mai;2010;2010-05-01
27 Alagoas;275;Mai;2010;2010-05-01
28 Sergipe;274;Mai;2010;2010-05-01
24 Rio Grande do Norte;288;Mai;2010;2010-05-01
32 Espírito Santo;228;Mai;2010;2010-05-01
53 Distrito Federal;278;Mai;2010;2010-05-01
51 Mato Grosso;190;Mai;2010;2010-05-01
50 Mato Grosso do Sul;175;Mai;2010;2010-05-01
17 Tocantins;153;Mai;2010;2010-05-01
16 Amapá;117;Mai;2010;2010-05-01
11 Rondônia;116;Mai;2010;2010-05-01
12 Acre;155;Mai;2010;2010-05-01
14 Roraima;86;Mai;2010;2010-05-01
35 São Paulo;2747;Jun;2010;2010-06-01
29 Bahia;1574;Jun;2010;2010-06-01
31 Minas Gerais;1402;Jun;2010;2010-06-01
33 Rio de Janeiro;1186;Jun;2010;2010-06-01
26 Pernambuco;896;Jun;2010;2010-06-01
23 Ceará;735;Jun;2010;2010-06-01
41 Paraná;632;Jun;2010;2010-06-01
15 Pará;710;Jun;2010;2010-06-01
43 Rio Grande do Sul;616;Jun;2010;2010-06-01
21 Maranhão;532;Jun;2010;2010-06-01
42 Santa Catarina;427;Jun;2010;2010-06-01
13 Amazonas;535;Jun;2010;2010-06-01
52 Goiás;331;Jun;2010;2010-06-01
25 Paraíba;330;Jun;2010;2010-06-01
22 Piauí;383;Jun;2010;2010-06-01
27 Alagoas;293;Jun;2010;2010-06-01
28 Sergipe;259;Jun;2010;2010-06-01
24 Rio Grande do Norte;220;Jun;2010;2010-06-01
32 Espírito Santo;262;Jun;2010;2010-06-01
53 Distrito Federal;179;Jun;2010;2010-06-01
51 Mato Grosso;213;Jun;2010;2010-06-01
50 Mato Grosso do Sul;190;Jun;2010;2010-06-01
17 Tocantins;188;Jun;2010;2010-06-01
16 Amapá;176;Jun;2010;2010-06-01
11 Rondônia;102;Jun;2010;2010-06-01
12 Acre;99;Jun;2010;2010-06-01
14 Roraima;56;Jun;2010;2010-06-01
35 São Paulo;2831;Jul;2010;2010-07-01
29 Bahia;1713;Jul;2010;2010-07-01
31 Minas Gerais;1578;Jul;2010;2010-07-01
33 Rio de Janeiro;1313;Jul;2010;2010-07-01
26 Pernambuco;923;Jul;2010;2010-07-01
23 Ceará;825;Jul;2010;2010-07-01
41 Paraná;659;Jul;2010;2010-07-01
15 Pará;684;Jul;2010;2010-07-01
43 Rio Grande do Sul;626;Jul;2010;2010-07-01
21 Maranhão;486;Jul;2010;2010-07-01
42 Santa Catarina;459;Jul;2010;2010-07-01
13 Amazonas;445;Jul;2010;2010-07-01
52 Goiás;343;Jul;2010;2010-07-01
25 Paraíba;344;Jul;2010;2010-07-01
22 Piauí;327;Jul;2010;2010-07-01
27 Alagoas;293;Jul;2010;2010-07-01
28 Sergipe;330;Jul;2010;2010-07-01
24 Rio Grande do Norte;267;Jul;2010;2010-07-01
32 Espírito Santo;250;Jul;2010;2010-07-01
53 Distrito Federal;215;Jul;2010;2010-07-01
51 Mato Grosso;221;Jul;2010;2010-07-01
50 Mato Grosso do Sul;172;Jul;2010;2010-07-01
17 Tocantins;155;Jul;2010;2010-07-01
16 Amapá;141;Jul;2010;2010-07-01
11 Rondônia;97;Jul;2010;2010-07-01
12 Acre;151;Jul;2010;2010-07-01
14 Roraima;104;Jul;2010;2010-07-01
35 São Paulo;3119;Ago;2010;2010-08-01
29 Bahia;1930;Ago;2010;2010-08-01
31 Minas Gerais;1707;Ago;2010;2010-08-01
33 Rio de Janeiro;1449;Ago;2010;2010-08-01
26 Pernambuco;905;Ago;2010;2010-08-01
23 Ceará;836;Ago;2010;2010-08-01
41 Paraná;713;Ago;2010;2010-08-01
15 Pará;646;Ago;2010;2010-08-01
43 Rio Grande do Sul;699;Ago;2010;2010-08-01
21 Maranhão;559;Ago;2010;2010-08-01
42 Santa Catarina;492;Ago;2010;2010-08-01
13 Amazonas;355;Ago;2010;2010-08-01
52 Goiás;378;Ago;2010;2010-08-01
25 Paraíba;363;Ago;2010;2010-08-01
22 Piauí;333;Ago;2010;2010-08-01
27 Alagoas;336;Ago;2010;2010-08-01
28 Sergipe;287;Ago;2010;2010-08-01
24 Rio Grande do Norte;255;Ago;2010;2010-08-01
32 Espírito Santo;200;Ago;2010;2010-08-01
53 Distrito Federal;298;Ago;2010;2010-08-01
51 Mato Grosso;203;Ago;2010;2010-08-01
50 Mato Grosso do Sul;182;Ago;2010;2010-08-01
17 Tocantins;123;Ago;2010;2010-08-01
16 Amapá;154;Ago;2010;2010-08-01
11 Rondônia;99;Ago;2010;2010-08-01
12 Acre;135;Ago;2010;2010-08-01
14 Roraima;159;Ago;2010;2010-08-01
35 São Paulo;3376;Set;2010;2010-09-01
29 Bahia;1882;Set;2010;2010-09-01
31 Minas Gerais;1619;Set;2010;2010-09-01
33 Rio de Janeiro;1411;Set;2010;2010-09-01
26 Pernambuco;882;Set;2010;2010-09-01
23 Ceará;934;Set;2010;2010-09-01
41 Paraná;662;Set;2010;2010-09-01
15 Pará;741;Set;2010;2010-09-01
43 Rio Grande do Sul;648;Set;2010;2010-09-01
21 Maranhão;509;Set;2010;2010-09-01
42 Santa Catarina;483;Set;2010;2010-09-01
13 Amazonas;339;Set;2010;2010-09-01
52 Goiás;370;Set;2010;2010-09-01
25 Paraíba;385;Set;2010;2010-09-01
22 Piauí;338;Set;2010;2010-09-01
27 Alagoas;327;Set;2010;2010-09-01
28 Sergipe;327;Set;2010;2010-09-01
24 Rio Grande do Norte;282;Set;2010;2010-09-01
32 Espírito Santo;309;Set;2010;2010-09-01
53 Distrito Federal;204;Set;2010;2010-09-01
51 Mato Grosso;233;Set;2010;2010-09-01
50 Mato Grosso do Sul;207;Set;2010;2010-09-01
17 Tocantins;148;Set;2010;2010-09-01
16 Amapá;167;Set;2010;2010-09-01
11 Rondônia;108;Set;2010;2010-09-01
12 Acre;134;Set;2010;2010-09-01
14 Roraima;120;Set;2010;2010-09-01
35 São Paulo;3315;Out;2010;2010-10-01
29 Bahia;2020;Out;2010;2010-10-01
31 Minas Gerais;1684;Out;2010;2010-10-01
33 Rio de Janeiro;1271;Out;2010;2010-10-01
26 Pernambuco;951;Out;2010;2010-10-01
23 Ceará;898;Out;2010;2010-10-01
41 Paraná;768;Out;2010;2010-10-01
15 Pará;700;Out;2010;2010-10-01
43 Rio Grande do Sul;690;Out;2010;2010-10-01
21 Maranhão;638;Out;2010;2010-10-01
42 Santa Catarina;513;Out;2010;2010-10-01
13 Amazonas;635;Out;2010;2010-10-01
52 Goiás;321;Out;2010;2010-10-01
25 Paraíba;373;Out;2010;2010-10-01
22 Piauí;360;Out;2010;2010-10-01
27 Alagoas;373;Out;2010;2010-10-01
28 Sergipe;300;Out;2010;2010-10-01
24 Rio Grande do Norte;313;Out;2010;2010-10-01
32 Espírito Santo;227;Out;2010;2010-10-01
53 Distrito Federal;252;Out;2010;2010-10-01
51 Mato Grosso;258;Out;2010;2010-10-01
50 Mato Grosso do Sul;235;Out;2010;2010-10-01
17 Tocantins;172;Out;2010;2010-10-01
16 Amapá;171;Out;2010;2010-10-01
11 Rondônia;113;Out;2010;2010-10-01
12 Acre;97;Out;2010;2010-10-01
14 Roraima;44;Out;2010;2010-10-01
35 São Paulo;3229;Nov;2010;2010-11-01
29 Bahia;2014;Nov;2010;2010-11-01
31 Minas Gerais;1686;Nov;2010;2010-11-01
33 Rio de Janeiro;1407;Nov;2010;2010-11-01
26 Pernambuco;972;Nov;2010;2010-11-01
23 Ceará;1002;Nov;2010;2010-11-01
41 Paraná;699;Nov;2010;2010-11-01
15 Pará;704;Nov;2010;2010-11-01
43 Rio Grande do Sul;688;Nov;2010;2010-11-01
21 Maranhão;705;Nov;2010;2010-11-01
42 Santa Catarina;513;Nov;2010;2010-11-01
13 Amazonas;618;Nov;2010;2010-11-01
52 Goiás;344;Nov;2010;2010-11-01
25 Paraíba;416;Nov;2010;2010-11-01
22 Piauí;367;Nov;2010;2010-11-01
27 Alagoas;382;Nov;2010;2010-11-01
28 Sergipe;320;Nov;2010;2010-11-01
24 Rio Grande do Norte;284;Nov;2010;2010-11-01
32 Espírito Santo;292;Nov;2010;2010-11-01
53 Distrito Federal;283;Nov;2010;2010-11-01
51 Mato Grosso;230;Nov;2010;2010-11-01
50 Mato Grosso do Sul;263;Nov;2010;2010-11-01
17 Tocantins;184;Nov;2010;2010-11-01
16 Amapá;149;Nov;2010;2010-11-01
11 Rondônia;136;Nov;2010;2010-11-01
12 Acre;106;Nov;2010;2010-11-01
14 Roraima;72;Nov;2010;2010-11-01
35 São Paulo;3428;Dez;2010;2010-12-01
29 Bahia;1777;Dez;2010;2010-12-01
31 Minas Gerais;1561;Dez;2010;2010-12-01
33 Rio de Janeiro;1411;Dez;2010;2010-12-01
26 Pernambuco;1019;Dez;2010;2010-12-01
23 Ceará;957;Dez;2010;2010-12-01
41 Paraná;747;Dez;2010;2010-12-01
15 Pará;703;Dez;2010;2010-12-01
43 Rio Grande do Sul;639;Dez;2010;2010-12-01
21 Maranhão;584;Dez;2010;2010-12-01
42 Santa Catarina;544;Dez;2010;2010-12-01
13 Amazonas;478;Dez;2010;2010-12-01
52 Goiás;364;Dez;2010;2010-12-01
25 Paraíba;370;Dez;2010;2010-12-01
22 Piauí;336;Dez;2010;2010-12-01
27 Alagoas;368;Dez;2010;2010-12-01
28 Sergipe;369;Dez;2010;2010-12-01
24 Rio Grande do Norte;257;Dez;2010;2010-12-01
32 Espírito Santo;289;Dez;2010;2010-12-01
53 Distrito Federal;193;Dez;2010;2010-12-01
51 Mato Grosso;213;Dez;2010;2010-12-01
50 Mato Grosso do Sul;194;Dez;2010;2010-12-01
17 Tocantins;164;Dez;2010;2010-12-01
16 Amapá;126;Dez;2010;2010-12-01
11 Rondônia;101;Dez;2010;2010-12-01
12 Acre;117;Dez;2010;2010-12-01
14 Roraima;81;Dez;2010;2010-12-01
35 São Paulo;2896;Jan;2011;2011-01-01
29 Bahia;1778;Jan;2011;2011-01-01
31 Minas Gerais;1577;Jan;2011;2011-01-01
33 Rio de Janeiro;1150;Jan;2011;2011-01-01
26 Pernambuco;838;Jan;2011;2011-01-01
23 Ceará;879;Jan;2011;2011-01-01
41 Paraná;812;Jan;2011;2011-01-01
15 Pará;703;Jan;2011;2011-01-01
43 Rio Grande do Sul;606;Jan;2011;2011-01-01
21 Maranhão;624;Jan;2011;2011-01-01
42 Santa Catarina;478;Jan;2011;2011-01-01
13 Amazonas;492;Jan;2011;2011-01-01
52 Goiás;353;Jan;2011;2011-01-01
25 Paraíba;323;Jan;2011;2011-01-01
22 Piauí;353;Jan;2011;2011-01-01
27 Alagoas;344;Jan;2011;2011-01-01
28 Sergipe;397;Jan;2011;2011-01-01
24 Rio Grande do Norte;206;Jan;2011;2011-01-01
32 Espírito Santo;284;Jan;2011;2011-01-01
53 Distrito Federal;250;Jan;2011;2011-01-01
51 Mato Grosso;195;Jan;2011;2011-01-01
50 Mato Grosso do Sul;250;Jan;2011;2011-01-01
17 Tocantins;164;Jan;2011;2011-01-01
16 Amapá;124;Jan;2011;2011-01-01
11 Rondônia;104;Jan;2011;2011-01-01
12 Acre;146;Jan;2011;2011-01-01
14 Roraima;18;Jan;2011;2011-01-01
35 São Paulo;2690;Fev;2011;2011-02-01
29 Bahia;1561;Fev;2011;2011-02-01
31 Minas Gerais;1434;Fev;2011;2011-02-01
33 Rio de Janeiro;1221;Fev;2011;2011-02-01
26 Pernambuco;905;Fev;2011;2011-02-01
23 Ceará;863;Fev;2011;2011-02-01
41 Paraná;791;Fev;2011;2011-02-01
15 Pará;750;Fev;2011;2011-02-01
43 Rio Grande do Sul;519;Fev;2011;2011-02-01
21 Maranhão;602;Fev;2011;2011-02-01
42 Santa Catarina;495;Fev;2011;2011-02-01
13 Amazonas;437;Fev;2011;2011-02-01
52 Goiás;351;Fev;2011;2011-02-01
25 Paraíba;367;Fev;2011;2011-02-01
22 Piauí;336;Fev;2011;2011-02-01
27 Alagoas;307;Fev;2011;2011-02-01
28 Sergipe;259;Fev;2011;2011-02-01
24 Rio Grande do Norte;201;Fev;2011;2011-02-01
32 Espírito Santo;247;Fev;2011;2011-02-01
53 Distrito Federal;134;Fev;2011;2011-02-01
51 Mato Grosso;172;Fev;2011;2011-02-01
50 Mato Grosso do Sul;152;Fev;2011;2011-02-01
17 Tocantins;142;Fev;2011;2011-02-01
16 Amapá;166;Fev;2011;2011-02-01
11 Rondônia;123;Fev;2011;2011-02-01
12 Acre;116;Fev;2011;2011-02-01
14 Roraima;85;Fev;2011;2011-02-01
35 São Paulo;2776;Mar;2011;2011-03-01
29 Bahia;1742;Mar;2011;2011-03-01
31 Minas Gerais;1446;Mar;2011;2011-03-01
33 Rio de Janeiro;1008;Mar;2011;2011-03-01
26 Pernambuco;814;Mar;2011;2011-03-01
23 Ceará;736;Mar;2011;2011-03-01
41 Paraná;658;Mar;2011;2011-03-01
15 Pará;752;Mar;2011;2011-03-01
43 Rio Grande do Sul;634;Mar;2011;2011-03-01
21 Maranhão;573;Mar;2011;2011-03-01
42 Santa Catarina;483;Mar;2011;2011-03-01
13 Amazonas;353;Mar;2011;2011-03-01
52 Goiás;361;Mar;2011;2011-03-01
25 Paraíba;407;Mar;2011;2011-03-01
22 Piauí;425;Mar;2011;2011-03-01
27 Alagoas;302;Mar;2011;2011-03-01
28 Sergipe;248;Mar;2011;2011-03-01
24 Rio Grande do Norte;246;Mar;2011;2011-03-01
32 Espírito Santo;241;Mar;2011;2011-03-01
53 Distrito Federal;207;Mar;2011;2011-03-01
51 Mato Grosso;158;Mar;2011;2011-03-01
50 Mato Grosso do Sul;222;Mar;2011;2011-03-01
17 Tocantins;153;Mar;2011;2011-03-01
16 Amapá;76;Mar;2011;2011-03-01
11 Rondônia;182;Mar;2011;2011-03-01
12 Acre;134;Mar;2011;2011-03-01
14 Roraima;93;Mar;2011;2011-03-01
35 São Paulo;2597;Abr;2011;2011-04-01
29 Bahia;1577;Abr;2011;2011-04-01
31 Minas Gerais;1322;Abr;2011;2011-04-01
33 Rio de Janeiro;1042;Abr;2011;2011-04-01
26 Pernambuco;762;Abr;2011;2011-04-01
23 Ceará;800;Abr;2011;2011-04-01
41 Paraná;722;Abr;2011;2011-04-01
15 Pará;784;Abr;2011;2011-04-01
43 Rio Grande do Sul;565;Abr;2011;2011-04-01
21 Maranhão;602;Abr;2011;2011-04-01
42 Santa Catarina;400;Abr;2011;2011-04-01
13 Amazonas;597;Abr;2011;2011-04-01
52 Goiás;337;Abr;2011;2011-04-01
25 Paraíba;316;Abr;2011;2011-04-01
22 Piauí;302;Abr;2011;2011-04-01
27 Alagoas;299;Abr;2011;2011-04-01
28 Sergipe;261;Abr;2011;2011-04-01
24 Rio Grande do Norte;209;Abr;2011;2011-04-01
32 Espírito Santo;235;Abr;2011;2011-04-01
53 Distrito Federal;212;Abr;2011;2011-04-01
51 Mato Grosso;218;Abr;2011;2011-04-01
50 Mato Grosso do Sul;157;Abr;2011;2011-04-01
17 Tocantins;134;Abr;2011;2011-04-01
16 Amapá;204;Abr;2011;2011-04-01
11 Rondônia;144;Abr;2011;2011-04-01
12 Acre;108;Abr;2011;2011-04-01
14 Roraima;103;Abr;2011;2011-04-01
35 São Paulo;2769;Mai;2011;2011-05-01
29 Bahia;1401;Mai;2011;2011-05-01
31 Minas Gerais;1335;Mai;2011;2011-05-01
33 Rio de Janeiro;998;Mai;2011;2011-05-01
26 Pernambuco;742;Mai;2011;2011-05-01
23 Ceará;669;Mai;2011;2011-05-01
41 Paraná;628;Mai;2011;2011-05-01
15 Pará;568;Mai;2011;2011-05-01
43 Rio Grande do Sul;527;Mai;2011;2011-05-01
21 Maranhão;467;Mai;2011;2011-05-01
42 Santa Catarina;396;Mai;2011;2011-05-01
13 Amazonas;446;Mai;2011;2011-05-01
52 Goiás;302;Mai;2011;2011-05-01
25 Paraíba;286;Mai;2011;2011-05-01
22 Piauí;362;Mai;2011;2011-05-01
27 Alagoas;276;Mai;2011;2011-05-01
28 Sergipe;262;Mai;2011;2011-05-01
24 Rio Grande do Norte;186;Mai;2011;2011-05-01
32 Espírito Santo;256;Mai;2011;2011-05-01
53 Distrito Federal;271;Mai;2011;2011-05-01
51 Mato Grosso;198;Mai;2011;2011-05-01
50 Mato Grosso do Sul;140;Mai;2011;2011-05-01
17 Tocantins;147;Mai;2011;2011-05-01
16 Amapá;179;Mai;2011;2011-05-01
11 Rondônia;168;Mai;2011;2011-05-01
12 Acre;107;Mai;2011;2011-05-01
14 Roraima;93;Mai;2011;2011-05-01
35 São Paulo;2556;Jun;2011;2011-06-01
29 Bahia;1541;Jun;2011;2011-06-01
31 Minas Gerais;1475;Jun;2011;2011-06-01
33 Rio de Janeiro;1139;Jun;2011;2011-06-01
26 Pernambuco;802;Jun;2011;2011-06-01
23 Ceará;809;Jun;2011;2011-06-01
41 Paraná;650;Jun;2011;2011-06-01
15 Pará;703;Jun;2011;2011-06-01
43 Rio Grande do Sul;592;Jun;2011;2011-06-01
21 Maranhão;504;Jun;2011;2011-06-01
42 Santa Catarina;370;Jun;2011;2011-06-01
13 Amazonas;512;Jun;2011;2011-06-01
52 Goiás;277;Jun;2011;2011-06-01
25 Paraíba;302;Jun;2011;2011-06-01
22 Piauí;317;Jun;2011;2011-06-01
27 Alagoas;295;Jun;2011;2011-06-01
28 Sergipe;236;Jun;2011;2011-06-01
24 Rio Grande do Norte;221;Jun;2011;2011-06-01
